DATE,RAILFRTINTERMODAL
2019-01-01,1181896
2019-02-01,1088287
2019-03-01,1182130
2019-04-01,1133354
2019-05-01,1166977
2019-06-01,1142915
2019-07-01,1163930
2019-08-01,1207740
2019-09-01,1138058
2019-10-01,1179756
2019-11-01,1095406
2019-12-01,1075973
